config,error,total,cache,phase,N,W,q,tau,accepted_weight,samples,mean_ms,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
bls_avx_swapped_split2,1/16,32,cached,end_to_end,419,1580,1060,76,1062,30,59.90919516666667,59.752933999999996,59.624666600000005,60.0295219,0,0,0,0
bls_avx_swapped_split2,1/16,32,cached,opening,419,1580,1060,76,1062,30,24.6639415,24.65139,24.6166846,24.7416303,0,0,0,0
bls_avx_swapped_split2,1/16,32,cached,precompute,419,1580,1060,76,1062,30,2.5801085666666665,2.552728,2.5015159,2.69424,0,0,0,0
bls_avx_swapped_split2,1/16,32,cached,predec_per_validator,419,1580,1060,76,1062,30,0.16051964649122807,0.15918292105263157,0.1588993302631579,0.15986582368421054,,,,
bls_avx_swapped_split2,1/16,32,cached,preparation,419,1580,1060,76,1062,30,2.0733333333333334e-05,2e-05,2e-05,2.1e-05,0,0,0,0
bls_avx_swapped_split2,1/16,32,cached,share_generation,419,1580,1060,76,1062,30,12.199493133333334,12.097902,12.0763491,12.149802600000001,0,0,0,0
bls_avx_swapped_split2,1/16,32,cached,validate_per_validator,419,1580,1060,76,1062,30,0.2271824903508772,0.2269225986842105,0.22629735131578946,0.22804782368421053,,,,
bls_avx_swapped_split2,1/16,32,cached,validation,419,1580,1060,76,1062,30,1.5478776666666667,1.533998,1.5198302,1.5498779999999999,0,0,0,0
bls_avx_swapped_split2,1/16,32,cold,acceptance,419,1580,1060,76,1062,30,17.168810566666664,17.153940499999997,17.1113997,17.2469719,0,0,0,0
bls_avx_swapped_split2,1/16,32,cold,combiner,419,1580,1060,76,1062,30,60.05718933333333,60.059394,59.9615493,60.1457255,1,1,0,0
bls_avx_swapped_split2,1/16,32,cold,dec_open,419,1580,1060,76,1062,30,27.27972103333333,27.2618275,27.1886152,27.4024468,,,,
bls_avx_swapped_split2,1/16,32,cold,decryption_total,419,1580,1060,76,1062,30,72.16634993333334,72.1599145,72.0602803,72.2732698,1,1,0,0
bls_avx_swapped_split2,1/16,32,cold,encryption,419,1580,1060,76,1062,30,1.6601921,1.660967,1.6491668000000002,1.6722033,0,0,0,0
bls_avx_swapped_split2,1/16,32,cold,encryption_per_item,419,1580,1060,76,1062,30,0.051881003125,0.05190521875,0.051536462500000005,0.052256353125,,,,
bls_avx_swapped_split2,1/16,32,cold,end_to_end,419,1580,1060,76,1062,30,75.3701869,75.379578,75.240367,75.4745956,1,1,0,0
bls_avx_swapped_split2,1/16,32,cold,opening,419,1580,1060,76,1062,30,24.694476233333333,24.693173,24.6496752,24.7453173,0,0,0,0
bls_avx_swapped_split2,1/16,32,cold,precompute,419,1580,1060,76,1062,30,2.5852448,2.5682349999999996,2.503708,2.7033062,0,0,0,0
