curve,simd,orientation,total,batch,setup,cache,threads,parties,total_weight,required_weight,selected_parties,accepted_weight,sample,phase,milliseconds,avx_msm,avx_each
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,0,encryption,0.703777,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,0,validation,0.729512,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,0,share_generation,1.963379,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,0,acceptance,7.744443,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,0,preparation,23.557526,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,0,precompute,1.321596,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,0,opening,12.070759,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,0,combiner,44.694455,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,0,decryption_total,46.657914,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,0,end_to_end,48.091374,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,1,encryption,0.704338,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,1,validation,0.697459,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,1,share_generation,1.958992,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,1,acceptance,7.760426,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,1,preparation,23.390306,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,1,precompute,1.446198,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,1,opening,12.052815,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,1,combiner,44.649925,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,1,decryption_total,46.608997,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,1,end_to_end,48.010944,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,2,encryption,0.690759,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,2,validation,0.676500,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,2,share_generation,1.952824,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,2,acceptance,7.764161,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,2,preparation,23.390166,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,2,precompute,1.236920,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,2,opening,12.083176,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,2,combiner,44.474613,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,2,decryption_total,46.427517,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,2,end_to_end,47.794916,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,3,encryption,0.706331,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,3,validation,0.687906,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,3,share_generation,1.969537,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,3,acceptance,7.713010,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,3,preparation,23.440766,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,3,precompute,1.613147,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,3,opening,12.061897,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,3,combiner,44.828990,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,3,decryption_total,46.798607,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,3,end_to_end,48.193104,0,0
bn254,off,normal,16,2,16,cold,12,419,1580,1060,76,1062,4,encryption,0.696938,0,0
