curve,simd,orientation,total,batch,setup,cache,threads,parties,total_weight,required_weight,selected_parties,accepted_weight,sample,phase,milliseconds,avx_msm,avx_each
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,0,encryption,8.186832,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,0,validation,8.479784,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,0,share_generation,30.387564,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,0,acceptance,104.326392,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,0,preparation,23.916660,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,0,precompute,12.725900,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,0,opening,165.127976,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,0,combiner,306.097078,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,0,decryption_total,336.484692,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,0,end_to_end,353.151548,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,1,encryption,8.182756,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,1,validation,8.881487,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,1,share_generation,30.356621,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,1,acceptance,119.128996,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,1,preparation,23.875033,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,1,precompute,15.151954,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,1,opening,170.613946,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,1,combiner,328.770109,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,1,decryption_total,359.126810,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,1,end_to_end,376.191293,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,2,encryption,8.231313,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,2,validation,8.551132,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,2,share_generation,30.033306,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,2,acceptance,122.200738,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,2,preparation,23.659357,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,2,precompute,12.082195,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,2,opening,182.935539,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,2,combiner,340.877949,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,2,decryption_total,370.911295,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,2,end_to_end,387.693981,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,3,encryption,8.200100,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,3,validation,9.203429,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,3,share_generation,30.170665,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,3,acceptance,102.052487,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,3,preparation,24.387728,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,3,precompute,12.953242,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,3,opening,164.914072,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,3,combiner,304.307699,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,3,decryption_total,334.478414,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,3,end_to_end,351.882173,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,4,encryption,8.206268,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,4,validation,8.591758,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,4,share_generation,37.531973,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,4,acceptance,107.056114,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,4,preparation,23.794141,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,4,precompute,13.344370,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,4,opening,182.829964,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,4,combiner,327.024730,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,4,decryption_total,364.556743,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,4,end_to_end,381.355019,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,5,encryption,8.213588,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,5,validation,9.157506,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,5,share_generation,30.104334,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,5,acceptance,102.542431,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,5,preparation,24.040119,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,5,precompute,12.158250,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,5,opening,164.804191,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,5,combiner,303.545161,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,5,decryption_total,333.649585,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,5,end_to_end,351.020829,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,6,encryption,8.231373,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,6,validation,7.780443,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,6,share_generation,30.164788,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,6,acceptance,104.061017,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,6,preparation,23.967781,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,6,precompute,12.879351,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,6,opening,171.383923,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,6,combiner,312.292332,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,6,decryption_total,342.457210,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,6,end_to_end,358.469296,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,7,encryption,8.273761,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,7,validation,8.869850,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,7,share_generation,30.386452,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,7,acceptance,102.426531,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,7,preparation,23.694745,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,7,precompute,12.547705,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,7,opening,165.370218,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,7,combiner,304.039339,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,7,decryption_total,334.425892,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,7,end_to_end,351.569623,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,8,encryption,8.196354,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,8,validation,8.192510,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,8,share_generation,30.165448,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,8,acceptance,102.548379,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,8,preparation,23.955243,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,8,precompute,13.423859,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,8,opening,171.273622,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,8,combiner,311.201243,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,8,decryption_total,341.366781,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,8,end_to_end,357.755715,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,9,encryption,8.233616,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,9,validation,9.883104,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,9,share_generation,30.141595,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,9,acceptance,121.886506,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,9,preparation,23.705991,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,9,precompute,13.597938,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,9,opening,159.119768,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,9,combiner,318.310383,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,9,decryption_total,348.452058,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,9,end_to_end,366.569058,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,10,encryption,8.204245,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,10,validation,8.922042,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,10,share_generation,30.133113,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,10,acceptance,102.246273,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,10,preparation,23.756450,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,10,precompute,12.623339,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,10,opening,152.990173,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,10,combiner,291.616366,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,10,decryption_total,321.749569,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,10,end_to_end,338.876117,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,11,encryption,8.211095,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,11,validation,9.504502,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,11,share_generation,30.236937,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,11,acceptance,122.014933,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,11,preparation,23.860212,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,11,precompute,12.184626,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,11,opening,188.966338,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,11,combiner,347.026289,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,11,decryption_total,377.263306,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,11,end_to_end,394.979053,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,12,encryption,8.199308,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,12,validation,9.138770,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,12,share_generation,30.002905,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,12,acceptance,103.803323,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,12,preparation,24.122373,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,12,precompute,12.213205,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,12,opening,158.884224,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,12,combiner,299.023275,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,12,decryption_total,329.026230,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,12,end_to_end,346.364539,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,13,encryption,8.267272,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,13,validation,10.296832,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,13,share_generation,30.267538,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,13,acceptance,103.827195,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,13,preparation,23.721381,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,13,precompute,13.093646,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,13,opening,176.941942,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,13,combiner,317.584276,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,13,decryption_total,347.851854,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,13,end_to_end,366.416228,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,14,encryption,8.190286,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,14,validation,8.834462,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,14,share_generation,30.042399,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,14,acceptance,103.906315,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,14,preparation,23.772342,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,14,precompute,12.254362,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,14,opening,189.016637,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,14,combiner,328.949746,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,14,decryption_total,358.992195,0,0
bn254,off,normal,256,2,256,cold,12,419,1580,1060,76,1062,14,end_to_end,376.017203,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,0,encryption,8.259762,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,0,validation,7.847315,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,0,share_generation,30.303147,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,0,acceptance,103.830670,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,0,preparation,0.000020,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,0,precompute,13.286371,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,0,opening,165.463516,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,0,combiner,282.580767,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,0,decryption_total,312.884005,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,0,end_to_end,328.991242,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,1,encryption,8.225244,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,1,validation,8.948929,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,1,share_generation,30.265916,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,1,acceptance,103.554041,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,1,preparation,0.000020,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,1,precompute,12.779353,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,1,opening,165.323444,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,1,combiner,281.657059,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,1,decryption_total,311.923065,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,1,end_to_end,329.097509,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,2,encryption,8.284806,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,2,validation,9.245417,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,2,share_generation,30.338396,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,2,acceptance,104.251899,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,2,preparation,0.000040,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,2,precompute,12.329645,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,2,opening,153.048133,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,2,combiner,269.629918,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,2,decryption_total,299.968394,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,2,end_to_end,317.498848,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,3,encryption,8.178540,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,3,validation,9.603529,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,3,share_generation,30.317907,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,3,acceptance,103.697858,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,3,preparation,0.000030,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,3,precompute,11.889961,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,3,opening,147.541916,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,3,combiner,263.129935,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,3,decryption_total,293.447933,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,3,end_to_end,311.230163,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,4,encryption,8.248617,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,4,validation,9.250323,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,4,share_generation,30.404607,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,4,acceptance,103.788083,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,4,preparation,0.000020,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,4,precompute,12.331748,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,4,opening,177.265907,0,0
bn254,off,normal,256,2,256,cached,12,419,1580,1060,76,1062,4,combiner,293.385918,0,0
