curve,simd,orientation,total,batch,setup,cache,threads,parties,total_weight,required_weight,selected_parties,accepted_weight,sample,phase,milliseconds,avx_msm,avx_each
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,0,encryption,0.767034,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,0,validation,0.909110,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,0,share_generation,2.611599,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,0,acceptance,7.751643,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,0,preparation,7.085359,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,0,precompute,0.988829,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,0,opening,9.631147,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,0,combiner,25.457178,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,0,decryption_total,28.068868,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,0,end_to_end,29.745222,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,1,encryption,0.758082,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,1,validation,0.907186,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,1,share_generation,2.644835,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,1,acceptance,7.726689,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,1,preparation,7.029301,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,1,precompute,1.063342,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,1,opening,9.551367,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,1,combiner,25.370839,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,1,decryption_total,28.015764,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,1,end_to_end,29.681143,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,2,encryption,0.757581,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,2,validation,0.906326,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,2,share_generation,2.607504,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,2,acceptance,7.790297,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,2,preparation,6.986792,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,2,precompute,0.965187,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,2,opening,9.585174,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,2,combiner,25.327580,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,2,decryption_total,27.935124,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,2,end_to_end,29.599131,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,3,encryption,0.751873,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,3,validation,0.900437,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,3,share_generation,2.621643,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,3,acceptance,7.742932,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,3,preparation,7.075725,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,3,precompute,0.998152,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,3,opening,9.607384,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,3,combiner,25.424373,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,3,decryption_total,28.046056,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,3,end_to_end,29.698477,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,4,encryption,0.753986,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,4,validation,0.907427,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,4,share_generation,2.627511,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,4,acceptance,7.722344,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,4,preparation,7.046134,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,4,precompute,0.973017,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,4,opening,9.593255,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,4,combiner,25.334870,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,4,decryption_total,27.962531,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,4,end_to_end,29.624225,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,5,encryption,0.771651,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,5,validation,0.938660,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,5,share_generation,2.613031,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,5,acceptance,7.763030,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,5,preparation,7.012248,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,5,precompute,0.981919,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,5,opening,9.598652,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,5,combiner,25.355989,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,5,decryption_total,27.969070,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,5,end_to_end,29.679491,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,6,encryption,0.755699,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,6,validation,0.928015,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,6,share_generation,2.613983,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,6,acceptance,7.760045,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,6,preparation,6.983178,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,6,precompute,0.999504,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,6,opening,9.615726,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,6,combiner,25.358533,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,6,decryption_total,27.972556,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,6,end_to_end,29.656380,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,7,encryption,0.745505,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,7,validation,0.901899,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,7,share_generation,2.607433,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,7,acceptance,7.747028,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,7,preparation,7.010565,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,7,precompute,0.975991,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,7,opening,9.596048,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,7,combiner,25.329773,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,7,decryption_total,27.937247,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,7,end_to_end,29.584831,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,8,encryption,0.755017,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,8,validation,0.951878,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,8,share_generation,2.607834,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,8,acceptance,7.771792,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,8,preparation,7.011506,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,8,precompute,1.006624,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,8,opening,9.582160,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,8,combiner,25.372172,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,8,decryption_total,27.980096,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,8,end_to_end,29.687212,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,9,encryption,0.744754,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,9,validation,0.926914,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,9,share_generation,2.601075,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,9,acceptance,7.776178,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,9,preparation,7.015712,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,9,precompute,0.948854,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,9,opening,9.596740,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,9,combiner,25.337624,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,9,decryption_total,27.938739,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,9,end_to_end,29.610527,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,10,encryption,0.746616,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,10,validation,0.917201,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,10,share_generation,2.609146,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,10,acceptance,7.715244,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,10,preparation,7.068825,0,0
bn254,off,swapped,16,2,16,cold,12,234,764,512,59,515,10,precompute,0.984704,0,0
