curve,simd,orientation,total,batch,setup,cache,threads,parties,total_weight,required_weight,selected_parties,accepted_weight,sample,phase,milliseconds,avx_msm,avx_each
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,0,encryption,8.895175,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,0,validation,11.995045,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,0,share_generation,52.286561,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,0,acceptance,117.665495,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,0,preparation,12.511946,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,0,precompute,13.609454,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,0,opening,147.297110,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,0,combiner,291.084165,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,0,decryption_total,343.370806,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,0,end_to_end,364.261307,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,1,encryption,8.985209,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,1,validation,11.242922,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,1,share_generation,52.263298,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,1,acceptance,144.046962,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,1,preparation,12.433458,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,1,precompute,14.287336,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,1,opening,165.312639,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,1,combiner,336.080557,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,1,decryption_total,388.343945,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,1,end_to_end,408.572226,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,2,encryption,8.837546,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,2,validation,11.096140,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,2,share_generation,52.274093,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,2,acceptance,144.391977,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,2,preparation,12.472542,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,2,precompute,14.154223,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,2,opening,165.651876,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,2,combiner,336.670838,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,2,decryption_total,388.945011,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,2,end_to_end,408.878838,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,3,encryption,8.836234,0,0
bn254,off,swapped,256,2,256,cold,12,419,1580,1060,76,1062,3,validation,11.537547,0,0
