backend,curve,simd,orientation,layout,cache,threads,phase,samples,median_ms,p10_ms,p90_ms,avx_msm_min,avx_msm_max,avx_each_min,avx_each_max
blst,bls12_381,native,swapped,1x16,cold,12,encryption,30,1.331602,1.3159118,1.3460695,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,end_to_end,30,84.2623215,81.8687044,85.376491,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,opening,30,9.365141000000001,9.344367499999999,9.387646499999999,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,precompute,30,11.6191365,11.5925743,11.7599558,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,preparation,30,51.135053000000006,48.739648700000004,52.183141000000006,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,share_generation,30,4.0715069999999995,4.0479149,4.0826772,0,0,0,0
blst,bls12_381,native,swapped,1x16,cold,12,validation,30,0.5784860000000001,0.5711388,0.5949643,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,acceptance,30,4.7581915,4.7475760000000005,4.771905500000001,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,combiner,30,16.095325,16.0461994,16.147301199999998,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,encryption,30,1.3286135,1.3083780000000003,1.4484006000000005,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,end_to_end,30,22.937919,22.7172781,23.4603685,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,opening,30,9.2677275,9.2170251,9.294308499999998,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,precompute,30,2.066223,2.057824,2.074501,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,preparation,30,0.0,0.0,0.0,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,share_generation,30,4.9664934999999995,4.7899199,5.1643462,0,0,0,0
blst,bls12_381,native,swapped,4x4,cached,12,validation,30,0.5119145,0.5037927,0.5200791,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,acceptance,30,4.762493500000001,4.7465066,4.7798501,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,combiner,30,35.284268,35.021708100000005,36.1202916,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,encryption,30,1.3220795,1.3050115,1.332893,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,end_to_end,30,42.187181499999994,41.64195099999999,43.104856500000004,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,opening,30,9.221446999999998,9.1958699,9.4502996,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,precompute,30,2.0456695,2.0331876,2.0532471,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,preparation,30,19.195476,19.0014538,20.039346099999996,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,share_generation,30,4.9580874999999995,4.7691622,5.1575336,0,0,0,0
blst,bls12_381,native,swapped,4x4,cold,12,validation,30,0.511579,0.5038498,0.5209883,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,acceptance,30,7.435840000000001,7.4181862999999995,7.458788800000001,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,combiner,30,19.7864735,19.7080774,19.868264,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,encryption,30,0.978226,0.9711946,0.9887256,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,end_to_end,30,22.8618995,22.7863115,22.9451886,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,opening,30,8.441399,8.4328669,8.4519023,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,precompute,30,3.905764,3.8253592,3.9867213,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,preparation,30,2e-05,2e-05,2e-05,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,share_generation,30,1.1609325,1.155861,1.1677501,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cached,12,validation,30,0.9334595,0.9253019,0.9400841000000001,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,acceptance,30,7.4273685,7.378241,7.4526043,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,combiner,30,124.946573,124.64905590000001,125.1460741,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,encryption,30,0.978917,0.9688209,0.9890208,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,end_to_end,30,128.02803799999998,127.6926691,128.2424294,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,opening,30,8.405379499999999,8.3882019,8.4225441,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,precompute,30,3.957555,3.9378906,3.9955568,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,preparation,30,105.1461855,104.90131480000001,105.3315411,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,share_generation,30,1.1619185,1.1541208,1.1689631999999999,0,0,0,0
mcl,bls12_381,avx512,normal,1x16,cold,12,validation,30,0.9302345000000001,0.921603,0.9410170000000001,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,acceptance,30,6.2235825,6.196702,6.2541964000000005,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,combiner,30,16.226395500000002,16.150167699999997,16.3172902,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,encryption,30,0.985466,0.9742088,0.9979273,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,end_to_end,30,19.619899,19.5089556,19.720659,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,opening,30,8.4342895,8.4033129,8.4508051,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,precompute,30,1.569574,1.5017571,1.6261124,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,preparation,30,2e-05,2e-05,2.0100000000000004e-05,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,share_generation,30,1.5016515,1.490002,1.5090635000000001,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cached,12,validation,30,0.9062015,0.8904098,0.9245945000000001,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,acceptance,30,6.1713255,6.1531905,6.1890845,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,combiner,30,54.9576785,54.7063166,55.3857604,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,encryption,30,0.975372,0.9686119,0.9900904,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,end_to_end,30,58.317486,58.0677953,58.7423928,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,opening,30,8.361813999999999,8.3446689,8.371989200000002,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,precompute,30,1.530345,1.4864229,1.7007688,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,preparation,30,38.8420555,38.6255358,39.3395941,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,share_generation,30,1.4893195000000001,1.4849719,1.4976281,0,0,0,0
mcl,bls12_381,avx512,normal,4x4,cold,12,validation,30,0.898596,0.8869687,0.9121344,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,acceptance,30,6.4117615,6.3678412,6.4429179,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,combiner,30,19.818698,19.755102599999997,19.9540992,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,encryption,30,1.09032,1.083767,1.1027643,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,end_to_end,30,24.849213499999998,24.7757321,24.9985633,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,opening,30,8.44577,8.424286,8.4830165,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,precompute,30,4.976987,4.9034797,5.052788,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,preparation,30,2e-05,2e-05,2e-05,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,share_generation,30,2.88584,2.8748606,2.9009591,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cached,12,validation,30,1.051942,1.0387826,1.0682421000000002,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,acceptance,30,6.415331500000001,6.3551599,6.4482611,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,combiner,30,59.273682,59.1986506,59.6595187,15,15,1,1
mcl,bls12_381,avx512,swapped,1x16,cold,12,encryption,30,1.0967335,1.0838485,1.1043281,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,end_to_end,30,64.295451,64.2060206,64.7143123,15,15,1,1
mcl,bls12_381,avx512,swapped,1x16,cold,12,opening,30,8.433823499999999,8.423772600000001,8.475800099999999,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,precompute,30,4.8983194999999995,4.867885,4.9819946999999996,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,preparation,30,39.532876,39.4220292,39.7385141,15,15,1,1
mcl,bls12_381,avx512,swapped,1x16,cold,12,share_generation,30,2.8937665,2.8697639,2.9006950000000002,0,0,0,0
mcl,bls12_381,avx512,swapped,1x16,cold,12,validation,30,1.0507705,1.0411458,1.0613213000000001,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,acceptance,30,5.193466,5.1671206,5.2103994,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,combiner,30,15.360379,15.2902985,15.4717282,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,encryption,30,1.099572,1.0868129,1.1084923,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,end_to_end,30,20.7313285,20.649868100000003,20.8231672,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,opening,30,8.457817,8.4254485,8.4710091,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,precompute,30,1.702637,1.6658297999999998,1.8276138,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,preparation,30,2e-05,2e-05,2.1e-05,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,share_generation,30,3.2484845,3.2332163,3.2583325,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cached,12,validation,30,1.014556,1.0033799,1.028361,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,acceptance,30,5.1696875,5.1320634,5.1923521,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,combiner,30,29.9237705,29.8498822,30.006008400000002,3,3,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,encryption,30,1.0933145,1.0862466000000002,1.1052792,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,end_to_end,30,35.2571535,35.1846438,35.3507093,3,3,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,opening,30,8.429437,8.387132500000002,8.438645000000001,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,precompute,30,1.7023815,1.6709637,1.783507,0,0,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,preparation,30,14.6131405,14.56026,14.653594100000001,3,3,0,0
mcl,bls12_381,avx512,swapped,4x4,cold,12,share_generation,30,3.238746,3.2237156,3.2477421,0,0,0,0
